,No,Japanese,English,German,French,Korean,Simplified Chinese,Traditional Chinese,Generation,Form,H,A,B,C,D,S,Ability1,Ability2,Ability3,Type1,Type2,Weight,Evolve Flag,GalarPokedex,PaldeaPokedex
20,16,ポッポ,Pidgey,Taubsi,Roucool,구구,波波,波波,1,-,40.0,45.0,40.0,35.0,35.0,56.0,するどいめ,ちどりあし,はとむね,ノーマル,ひこう,1.8,0,0,0
21,17,ピジョン,Pidgeotto,Tauboga,Roucoups,피죤,比比鸟,比比鳥,1,-,63.0,60.0,55.0,50.0,50.0,71.0,するどいめ,ちどりあし,はとむね,ノーマル,ひこう,30.0,0,0,0
22,18,ピジョット,Pidgeot,Tauboss,Roucarnage,피죤투,大比鸟,大比鳥,1,-,83.0,80.0,75.0,70.0,70.0,91.0,するどいめ,ちどりあし,はとむね,ノーマル,ひこう,39.5,1,0,0
23,18,メガピジョット,Pidgeot,Tauboss,Roucarnage,피죤투,大比鸟,大比鳥,6,メガシンカ,83.0,80.0,80.0,135.0,80.0,121.0,ノーガード,-,-,ノーマル,ひこう,50.5,1,0,0
24,19,コラッタ,Rattata,Rattfratz,Rattata,꼬렛,小拉达,小拉達,1,-,30.0,56.0,35.0,25.0,35.0,72.0,にげあし,こんじょう,はりきり,ノーマル,-,3.5,0,0,0
25,19,コラッタ,Rattata,Rattfratz,Rattata,꼬렛,小拉达,小拉達,1,アローラのすがた,30.0,56.0,35.0,25.0,25.0,72.0,くいしんぼう,はりきり,あついしぼう,あく,ノーマル,3.8,0,0,0
26,20,ラッタ,Raticate,Rattikarl,Rattatac,레트라,拉达,拉達,1,-,55.0,81.0,60.0,50.0,70.0,97.0,にげあし,こんじょう,はりきり,ノーマル,-,18.5,1,0,0
27,20,ラッタ,Raticate,Rattikarl,Rattatac,레트라,拉达,拉達,1,アローラのすがた,75.0,71.0,70.0,40.0,80.0,77.0,くいしんぼう,はりきり,あついしぼう,あく,ノーマル,25.5,1,0,0
28,21,オニスズメ,Spearow,Habitak,Piafabec,깨비참,烈雀,烈雀,1,-,40.0,60.0,30.0,31.0,31.0,70.0,するどいめ,-,スナイパー,ノーマル,ひこう,2.0,0,0,0
29,22,オニドリル,Fearow,Ibitak,Rapasdepic,깨비드릴조,大嘴雀,大嘴雀,1,-,65.0,90.0,65.0,61.0,61.0,100.0,するどいめ,-,スナイパー,ノーマル,ひこう,38.0,1,0,0
30,23,アーボ,Ekans,Rettan,Abo,아보,阿柏蛇,阿柏蛇,1,-,35.0,60.0,44.0,40.0,54.0,55.0,いかく,だっぴ,きんちょうかん,どく,-,6.9,0,0,0
31,24,アーボック,Arbok,Arbok,Arbok,아보크,阿柏怪,阿柏怪,1,-,60.0,95.0,69.0,65.0,79.0,80.0,いかく,だっぴ,きんちょうかん,どく,-,65.0,1,0,0
32,25,ピカチュウ,Pikachu,Pikachu,Pikachu,피카츄,皮卡丘,皮卡丘,1,-,35.0,55.0,40.0,50.0,50.0,90.0,せいでんき,-,ひらいしん,でんき,-,6.0,0,1,1
33,26,ライチュウ,Raichu,Raichu,Raichu,라이츄,雷丘,雷丘,1,-,60.0,90.0,55.0,90.0,80.0,110.0,せいでんき,-,ひらいしん,でんき,-,30.0,1,1,1
34,26,ライチュウ,Raichu,Raichu,Raichu,라이츄,雷丘,雷丘,1,アローラのすがた,60.0,85.0,50.0,95.0,85.0,110.0,サーフテール,-,-,でんき,エスパー,21.0,1,1,1
35,27,サンド,Sandshrew,Sandan,Sabelette,모래두지,穿山鼠,穿山鼠,1,-,50.0,75.0,85.0,20.0,30.0,40.0,すながくれ,-,すなかき,じめん,-,12.0,0,1,0
36,27,サンド,Sandshrew,Sandan,Sabelette,모래두지,穿山鼠,穿山鼠,1,アローラのすがた,50.0,75.0,90.0,10.0,35.0,40.0,ゆきがくれ,-,ゆきかき,こおり,はがね,40.0,0,1,0
37,28,サンドパン,Sandslash,Sandamer,Sablaireau,고지,穿山王,穿山王,1,-,75.0,100.0,110.0,45.0,55.0,65.0,すながくれ,-,すなかき,じめん,-,29.5,1,1,0
38,28,サンドパン,Sandslash,Sandamer,Sablaireau,고지,穿山王,穿山王,1,アローラのすがた,75.0,100.0,120.0,25.0,65.0,65.0,ゆきがくれ,-,ゆきかき,こおり,はがね,55.0,1,1,0
39,29,ニドラン♀,Nidoran♀,Nidoran♀,Nidoran♀,니드런♀,尼多兰,尼多蘭,1,-,55.0,47.0,52.0,40.0,40.0,41.0,どくのトゲ,とうそうしん,はりきり,どく,-,7.0,0,1,0
40,30,ニドリーナ,Nidorina,Nidorina,Nidorina,니드리나,尼多娜,尼多娜,1,-,70.0,62.0,67.0,55.0,55.0,56.0,どくのトゲ,とうそうしん,はりきり,どく,-,20.0,0,1,0
41,31,ニドクイン,Nidoqueen,Nidoqueen,Nidoqueen,니드퀸,尼多后,尼多后,1,-,90.0,92.0,87.0,75.0,85.0,76.0,どくのトゲ,とうそうしん,ちからずく,どく,じめん,60.0,1,1,0
42,32,ニドラン♂,Nidoran♂,Nidoran♂,Nidoran♂,니드런♂,尼多朗,尼多朗,1,-,46.0,57.0,40.0,40.0,40.0,50.0,どくのトゲ,とうそうしん,はりきり,どく,-,9.0,0,1,0
43,33,ニドリーノ,Nidorino,Nidorino,Nidorino,니드리노,尼多力诺,尼多力諾,1,-,61.0,72.0,57.0,55.0,55.0,65.0,どくのトゲ,とうそうしん,はりきり,どく,-,19.5,0,1,0
44,34,ニドキング,Nidoking,Nidoking,Nidoking,니드킹,尼多王,尼多王,1,-,81.0,102.0,77.0,85.0,75.0,85.0,どくのトゲ,とうそうしん,ちからずく,どく,じめん,62.0,1,1,0
45,35,ピッピ,Clefairy,Piepi,Melofee,삐삐,皮皮,皮皮,1,-,70.0,45.0,48.0,60.0,65.0,35.0,メロメロボディ,マジックガード,フレンドガード,フェアリー,-,7.0,0,1,0
46,36,ピクシー,Clefable,Pixi,Melodelfe,픽시,皮可西,皮可西,1,-,95.0,70.0,73.0,95.0,90.0,60.0,メロメロボディ,マジックガード,てんねん,フェアリー,-,40.0,1,1,0
47,37,ロコン,Vulpix,Vulpix,Goupix,식스테일,六尾,六尾,1,-,38.0,41.0,40.0,50.0,65.0,65.0,もらいび,-,ひでり,ほのお,-,9.9,0,1,0
48,37,ロコン,Vulpix,Vulpix,Goupix,식스테일,六尾,六尾,1,アローラのすがた,38.0,41.0,40.0,50.0,65.0,65.0,ゆきがくれ,-,ゆきふらし,こおり,-,9.9,0,1,0
49,38,キュウコン,Ninetales,Vulnona,Feunard,나인테일,九尾,九尾,1,-,73.0,76.0,75.0,81.0,100.0,100.0,もらいび,-,ひでり,ほのお,-,19.9,1,1,0
50,38,キュウコン,Ninetales,Vulnona,Feunard,나인테일,九尾,九尾,1,アローラのすがた,73.0,67.0,75.0,81.0,100.0,109.0,ゆきがくれ,-,ゆきふらし,こおり,フェアリー,19.9,1,1,0
51,39,プリン,Jigglypuff,Pummeluff,Rondoudou,푸린,胖丁,胖丁,1,-,115.0,45.0,20.0,45.0,25.0,20.0,メロメロボディ,かちき,フレンドガード,ノーマル,フェアリー,5.5,0,1,1
52,40,プクリン,Wigglytuff,Knuddeluff,Grodoudou,푸크린,胖可丁,胖可丁,1,-,140.0,70.0,45.0,95.0,50.0,45.0,メロメロボディ,かちき,おみとおし,ノーマル,フェアリー,12.0,1,1,1
53,41,ズバット,Zubat,Zubat,Nosferapti,주뱃,超音蝠,超音蝠,1,-,40.0,45.0,35.0,30.0,40.0,55.0,せいしんりょく,-,すりぬけ,どく,ひこう,7.5,0,1,0
54,42,ゴルバット,Golbat,Golbat,Nosferalto,골뱃,大嘴蝠,大嘴蝠,1,-,75.0,80.0,70.0,65.0,75.0,90.0,せいしんりょく,-,すりぬけ,どく,ひこう,55.0,0,1,0
55,43,ナゾノクサ,Oddish,Myrapla,Mystherbe,뚜벅쵸,走路草,走路草,1,-,45.0,50.0,55.0,75.0,65.0,30.0,ようりょくそ,-,にげあし,くさ,どく,5.4,0,1,0
56,44,クサイハナ,Gloom,Duflor,Ortide,냄새꼬,臭臭花,臭臭花,1,-,60.0,65.0,70.0,85.0,75.0,40.0,ようりょくそ,-,あくしゅう,くさ,どく,8.6,0,1,0
57,45,ラフレシア,Vileplume,Giflor,Rafflesia,라플레시아,霸王花,霸王花,1,-,75.0,80.0,85.0,110.0,90.0,50.0,ようりょくそ,-,ほうし,くさ,どく,18.6,1,1,0
58,46,パラス,Paras,Paras,Paras,파라스,派拉斯,派拉斯,1,-,35.0,70.0,55.0,45.0,55.0,25.0,ほうし,かんそうはだ,しめりけ,むし,くさ,5.4,0,0,0
59,47,パラセクト,Parasect,Parasek,Parasect,파라섹트,派拉斯特,派拉斯特,1,-,60.0,95.0,80.0,60.0,80.0,30.0,ほうし,かんそうはだ,しめりけ,むし,くさ,29.5,1,0,0
60,48,コンパン,Venonat,Bluzuk,Mimitoss,콘팡,毛球,毛球,1,-,60.0,55.0,50.0,40.0,55.0,45.0,ふくがん,いろめがね,にげあし,むし,どく,30.0,0,0,1
61,49,モルフォン,Venomoth,Omot,Aeromite,도나리,摩鲁蛾,摩魯蛾,1,-,70.0,65.0,60.0,90.0,75.0,90.0,りんぷん,いろめがね,ミラクルスキン,むし,どく,12.5,1,0,1
62,50,ディグダ,Diglett,Digda,Taupiqueur,디그다,地鼠,地鼠,1,-,10.0,55.0,25.0,35.0,45.0,95.0,すながくれ,ありじごく,すなのちから,じめん,-,0.8,0,1,1
63,50,ディグダ,Diglett,Digda,Taupiqueur,디그다,地鼠,地鼠,7,アローラのすがた,10.0,55.0,30.0,35.0,45.0,90.0,すながくれ,カーリーヘアー,すなのちから,じめん,-,0.8,0,1,1
64,51,ダグトリオ,Dugtrio,Digdri,Triopikeur,닥트리오,三地鼠,三地鼠,1,-,35.0,100.0,50.0,50.0,70.0,120.0,すながくれ,ありじごく,すなのちから,じめん,-,33.3,1,1,1
65,51,ダグトリオ,Dugtrio,Digdri,Triopikeur,닥트리오,三地鼠,三地鼠,7,アローラのすがた,35.0,80.0,50.0,50.0,70.0,120.0,すながくれ,カーリーヘアー,すなのちから,じめん,-,33.3,1,1,1
66,52,ニャース,Meowth,Mauzi,Miaouss,나옹,喵喵,喵喵,1,-,40.0,45.0,35.0,40.0,40.0,90.0,ものひろい,テクニシャン,きんちょうかん,ノーマル,-,4.2,0,1,1
67,52,ニャース,Meowth,Mauzi,Miaouss,나옹,喵喵,喵喵,7,アローラのすがた,40.0,35.0,35.0,50.0,40.0,90.0,ものひろい,テクニシャン,びびり,あく,-,4.2,0,1,1
68,52,ニャース,Meowth,Mauzi,Miaouss,나옹,喵喵,喵喵,8,ガラルのすがた,50.0,65.0,55.0,40.0,40.0,40.0,ものひろい,かたいツメ,きんちょうかん,はがね,-,7.5,0,1,1
69,53,ペルシアン,Persian,Snobilikat,Persian,페르시온,猫老大,貓老大,1,-,65.0,70.0,60.0,65.0,65.0,115.0,じゅうなん,テクニシャン,きんちょうかん,ノーマル,-,32.0,1,1,1
70,53,ペルシアン,Persian,Snobilikat,Persian,페르시온,猫老大,貓老大,7,アローラのすがた,65.0,60.0,60.0,75.0,65.0,115.0,ファーコート,テクニシャン,びびり,あく,-,33.0,1,1,1
71,54,コダック,Psyduck,Enton,Psykokwak,고라파덕,可达鸭,可達鴨,1,-,50.0,52.0,48.0,65.0,50.0,55.0,しめりけ,ノーてんき,すいすい,みず,-,19.6,0,1,1
72,55,ゴルダック,Golduck,Entoron,Akwakwak,골덕,哥达鸭,哥達鴨,1,-,80.0,82.0,78.0,95.0,80.0,85.0,しめりけ,ノーてんき,すいすい,みず,-,76.6,1,1,1
73,56,マンキー,Mankey,Menki,Ferosinge,망키,猴怪,猴怪,1,-,40.0,80.0,35.0,35.0,45.0,70.0,やるき,いかりのツボ,まけんき,かくとう,-,28.0,0,0,1
74,57,オコリザル,Primeape,Rasaff,Colossinge,성원숭,火暴猴,火爆猴,1,-,65.0,105.0,60.0,60.0,70.0,95.0,やるき,いかりのツボ,まけんき,かくとう,-,32.0,0,0,1
75,58,ガーディ,Growlithe,Fukano,Caninos,가디,卡蒂狗,卡蒂狗,1,-,55.0,70.0,45.0,70.0,50.0,60.0,いかく,もらいび,せいぎのこころ,ほのお,-,19.0,0,1,1
76,58,ガーディ,Growlithe,Fukano,Caninos,가디,卡蒂狗,卡蒂狗,9,ヒスイのすがた,60.0,75.0,45.0,65.0,50.0,55.0,いかく,もらいび,いしあたま,ほのお,いわ,22.7,0,0,1
77,59,ウインディ,Arcanine,Arkani,Arcanin,윈디,风速狗,風速狗,1,-,90.0,110.0,80.0,100.0,80.0,95.0,いかく,もらいび,せいぎのこころ,ほのお,-,155.0,1,1,1
78,59,ウインディ,Arcanine,Arkani,Arcanin,윈디,风速狗,風速狗,9,ヒスイのすがた,95.0,115.0,80.0,95.0,80.0,90.0,いかく,もらいび,いしあたま,ほのお,いわ,168.0,1,0,1
79,60,ニョロモ,Poliwag,Quapsel,Ptitard,발챙이,蚊香蝌蚪,蚊香蝌蚪,1,-,40.0,50.0,40.0,40.0,40.0,90.0,ちょすい,しめりけ,すいすい,みず,-,12.4,0,1,0
80,61,ニョロゾ,Poliwhirl,Quaputzi,Tetarte,수륙챙이,蚊香君,蚊香君,1,-,65.0,65.0,65.0,50.0,50.0,90.0,ちょすい,しめりけ,すいすい,みず,-,20.0,0,1,0
81,62,ニョロボン,Poliwrath,Quappo,Tartard,강챙이,蚊香泳士,蚊香泳士,1,-,90.0,95.0,95.0,70.0,90.0,70.0,ちょすい,しめりけ,すいすい,みず,かくとう,54.0,1,1,0
82,63,ケーシィ,Abra,Abra,Abra,캐이시,凯西,凱西,1,-,25.0,20.0,15.0,105.0,55.0,90.0,シンクロ,せいしんりょく,マジックガード,エスパー,-,19.5,0,1,0
83,64,ユンゲラー,Kadabra,Kadabra,Kadabra,윤겔라,勇基拉,勇基拉,1,-,40.0,35.0,30.0,120.0,70.0,105.0,シンクロ,せいしんりょく,マジックガード,エスパー,-,56.5,0,1,0
84,65,フーディン,Alakazam,Simsala,Alakazam,후딘,胡地,胡地,1,-,55.0,50.0,45.0,135.0,95.0,120.0,シンクロ,せいしんりょく,マジックガード,エスパー,-,48.0,1,1,0
85,65,メガフーディン,Alakazam,Simsala,Alakazam,후딘,胡地,胡地,6,メガシンカ,55.0,50.0,65.0,175.0,105.0,150.0,トレース,-,-,エスパー,-,48.0,1,0,0
86,66,ワンリキー,Machop,Machollo,Machoc,알통몬,腕力,腕力,1,-,70.0,80.0,50.0,35.0,35.0,35.0,こんじょう,ノーガード,ふくつのこころ,かくとう,-,19.5,0,1,0
87,67,ゴーリキー,Machoke,Maschock,Machopeur,근육몬,豪力,豪力,1,-,80.0,100.0,70.0,50.0,60.0,45.0,こんじょう,ノーガード,ふくつのこころ,かくとう,-,70.5,0,1,0
88,68,カイリキー,Machamp,Machomei,Mackogneur,괴력몬,怪力,怪力,1,-,90.0,130.0,80.0,65.0,85.0,55.0,こんじょう,ノーガード,ふくつのこころ,かくとう,-,130.0,1,1,0
89,69,マダツボミ,Bellsprout,Knofensa,Chetiflor,모다피,喇叭芽,喇叭芽,1,-,50.0,75.0,35.0,70.0,30.0,40.0,ようりょくそ,-,くいしんぼう,くさ,どく,4.0,0,0,0
90,70,ウツドン,Weepinbell,Ultrigaria,Boustiflor,우츠동,口呆花,口呆花,1,-,65.0,90.0,50.0,85.0,45.0,55.0,ようりょくそ,-,くいしんぼう,くさ,どく,6.4,0,0,0
91,71,ウツボット,Victreebel,Sarzenia,Empiflor,우츠보트,大食花,大食花,1,-,80.0,105.0,65.0,100.0,60.0,70.0,ようりょくそ,-,くいしんぼう,くさ,どく,15.5,1,0,0
92,72,メノクラゲ,Tentacool,Tentacha,Tentacool,왕눈해,玛瑙水母,瑪瑙水母,1,-,40.0,40.0,35.0,50.0,100.0,70.0,クリアボディ,ヘドロえき,あめうけざら,みず,どく,45.5,0,1,0
93,73,ドククラゲ,Tentacruel,Tentoxa,Tentacruel,독파리,毒刺水母,毒刺水母,1,-,80.0,70.0,65.0,80.0,120.0,100.0,クリアボディ,ヘドロえき,あめうけざら,みず,どく,55.0,1,1,0
94,74,イシツブテ,Geodude,Kleinstein,Racaillou,꼬마돌,小拳石,小拳石,1,-,40.0,80.0,100.0,30.0,30.0,20.0,いしあたま,がんじょう,すながくれ,いわ,じめん,20.0,0,0,0
95,74,イシツブテ,Geodude,Kleinstein,Racaillou,꼬마돌,小拳石,小拳石,7,アローラのすがた,40.0,80.0,100.0,30.0,30.0,20.0,じりょく,がんじょう,エレキスキン,いわ,でんき,20.0,0,0,0
96,75,ゴローン,Graveler,Georok,Gravalanch,데구리,隆隆石,隆隆石,1,-,55.0,95.0,115.0,45.0,45.0,35.0,いしあたま,がんじょう,すながくれ,いわ,じめん,105.0,0,0,0
97,75,ゴローン,Graveler,Georok,Gravalanch,데구리,隆隆石,隆隆石,7,アローラのすがた,55.0,95.0,115.0,45.0,45.0,35.0,じりょく,がんじょう,エレキスキン,いわ,でんき,105.0,0,0,0
98,76,ゴローニャ,Golem,Geowaz,Grolem,딱구리,隆隆岩,隆隆岩,1,-,80.0,120.0,130.0,55.0,65.0,45.0,いしあたま,がんじょう,すながくれ,いわ,じめん,300.0,1,0,0
99,76,ゴローニャ,Golem,Geowaz,Grolem,딱구리,隆隆岩,隆隆岩,7,アローラのすがた,80.0,120.0,130.0,55.0,65.0,45.0,じりょく,がんじょう,エレキスキン,いわ,でんき,300.0,1,0,0
100,77,ポニータ,Ponyta,Ponita,Ponyta,포니타,小火马,小火馬,1,-,50.0,85.0,55.0,65.0,65.0,90.0,にげあし,もらいび,ほのおのからだ,ほのお,-,30.0,0,1,0
101,77,ポニータ,Ponyta,Ponita,Ponyta,포니타,小火马,小火馬,8,ガラルのすがた,50.0,85.0,55.0,65.0,65.0,90.0,にげあし,パステルベール,きけんよち,エスパー,-,24.0,0,1,0
102,78,ギャロップ,Rapidash,Gallopa,Galopa,날쌩마,烈焰马,烈焰馬,1,-,65.0,100.0,70.0,80.0,80.0,105.0,にげあし,もらいび,ほのおのからだ,ほのお,-,95.0,1,1,0
103,78,ギャロップ,Rapidash,Gallopa,Galopa,날쌩마,烈焰马,烈焰馬,8,ガルラのすがた,65.0,100.0,70.0,80.0,80.0,105.0,にげあし,パステルベール,きけんよち,エスパー,フェアリー,95.0,1,1,0
104,79,ヤドン,Slowpoke,Flegmon,Ramoloss,야돈,呆呆兽,呆呆獸,1,-,90.0,65.0,65.0,40.0,40.0,15.0,どんかん,マイペース,さいせいりょく,みず,エスパー,36.0,0,1,1
105,80,ヤドラン,Slowbro,Lahmus,Flagadoss,야도란,呆壳兽,呆殼獸,1,-,95.0,75.0,110.0,100.0,80.0,30.0,どんかん,マイペース,さいせいりょく,みず,エスパー,78.5,1,1,1
106,80,メガヤドラン,Slowbro,Lahmus,Flagadoss,야도란,呆壳兽,呆殼獸,6,メガシンカ,95.0,75.0,180.0,130.0,80.0,30.0,シェルアーマー,-,-,みず,エスパー,120.0,1,0,0
107,81,コイル,Magnemite,Magnetilo,Magneti,코일,小磁怪,小磁怪,1,-,25.0,35.0,70.0,95.0,55.0,45.0,じりょく,がんじょう,アナライズ,でんき,はがね,6.0,0,1,1
108,82,レアコイル,Magneton,Magneton,Magneton,레어코일,三合一磁怪,三合一磁怪,1,-,50.0,60.0,95.0,120.0,70.0,70.0,じりょく,がんじょう,アナライズ,でんき,はがね,60.0,0,1,1
109,83,カモネギ,Farfetch'd,Porenta,Canarticho,파오리,大葱鸭,大蔥鴨,1,-,52.0,90.0,55.0,58.0,62.0,60.0,するどいめ,せいしんりょく,まけんき,ノーマル,ひこう,15.0,1,1,0
110,83,カモネギ,Farfetch'd,Porenta,Canarticho,파오리,大葱鸭,大蔥鴨,8,ガラルのすがた,52.0,95.0,55.0,58.0,62.0,55.0,ふくつのこころ,-,きもったま,かくとう,-,42.0,0,1,0
111,84,ドードー,Doduo,Dodu,Doduo,두두,嘟嘟,嘟嘟,1,-,35.0,85.0,45.0,35.0,35.0,75.0,にげあし,はやおき,ちどりあし,ノーマル,ひこう,39.2,0,0,0
112,85,ドードリオ,Dodrio,Dodri,Dodrio,두트리오,嘟嘟利,嘟嘟利,1,-,60.0,110.0,70.0,60.0,60.0,110.0,にげあし,はやおき,ちどりあし,ノーマル,ひこう,85.2,1,0,0
113,86,パウワウ,Seel,Jurob,Otaria,쥬쥬,小海狮,小海獅,1,-,65.0,45.0,55.0,45.0,70.0,45.0,あついしぼう,うるおいボディ,アイスボディ,みず,-,90.0,0,0,0
114,87,ジュゴン,Dewgong,Jugong,Lamantine,쥬레곤,白海狮,白海獅,1,-,90.0,70.0,80.0,70.0,95.0,70.0,あついしぼう,うるおいボディ,アイスボディ,みず,こおり,120.0,1,0,0
115,88,ベトベター,Grimer,Sleima,Tadmorv,질퍽이,臭泥,臭泥,1,-,80.0,80.0,50.0,40.0,50.0,25.0,あくしゅう,ねんちゃく,どくしゅ,どく,-,30.0,0,0,1
116,88,ベトベター,Grimer,Sleima,Tadmorv,질퍽이,臭泥,臭泥,7,アローラのすがた,80.0,80.0,50.0,40.0,50.0,25.0,どくしゅ,くいしんぼう,かがくのちから,どく,あく,42.0,0,0,1
117,89,ベトベトン,Muk,Sleimok,Grotadmorv,질뻐기,臭臭泥,臭臭泥,1,-,105.0,105.0,75.0,65.0,100.0,50.0,あくしゅう,ねんちゃく,どくしゅ,どく,-,30.0,1,0,1
118,89,ベトベトン,Muk,Sleimok,Grotadmorv,질뻐기,臭臭泥,臭臭泥,7,アローラのすがた,105.0,105.0,75.0,65.0,100.0,50.0,どくしゅ,くいしんぼう,かがくのちから,どく,あく,52.0,1,0,1
119,90,シェルダー,Shellder,Muschas,Kokiyas,셀러,大舌贝,大舌貝,1,-,30.0,65.0,100.0,45.0,25.0,40.0,シェルアーマー,スキルリンク,ぼうじん,みず,-,4.0,0,1,1
120,91,パルシェン,Cloyster,Austos,Crustabri,파르셀,刺甲贝,刺甲貝,1,-,50.0,95.0,180.0,85.0,45.0,70.0,シェルアーマー,スキルリンク,ぼうじん,みず,こおり,132.5,1,1,1
121,92,ゴース,Gastly,Nebulak,Fantominus,고오스,鬼斯,鬼斯,1,-,30.0,35.0,30.0,100.0,35.0,80.0,ふゆう,-,-,ゴースト,どく,0.1,0,1,1
122,93,ゴースト,Haunter,Alpollo,Spectrum,고우스트,鬼斯通,鬼斯通,1,-,45.0,50.0,45.0,115.0,55.0,95.0,ふゆう,-,-,ゴースト,どく,0.1,0,1,1
123,94,ゲンガー,Gengar,Gengar,Ectoplasma,팬텀,耿鬼,耿鬼,1,-,60.0,65.0,60.0,130.0,75.0,110.0,のろわれボディ,-,-,ゴースト,どく,40.5,1,1,1
124,94,メガゲンガー,Gengar,Gengar,Ectoplasma,팬텀,耿鬼,耿鬼,6,メガシンカ,60.0,65.0,80.0,170.0,95.0,130.0,かげふみ,-,-,ゴースト,どく,40.5,1,0,0
125,95,イワーク,Onix,Onix,Onix,롱스톤,大岩蛇,大岩蛇,1,-,35.0,45.0,160.0,30.0,45.0,70.0,いしあたま,がんじょう,くだけるよろい,いわ,じめん,210.0,0,1,0
